circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
28,hs_client_hsdir,built,,6FB20BB05A841CDDB308E85A4D117FCFC911F5EA,2020-06-19 11:56:21.879000,2020-06-19 11:56:21.896000,2020-06-19 11:56:23.481000,2020-06-19 11:56:24.019000,2020-06-19 11:56:24.616000,2020-06-19 11:56:24.616000,
29,hs_client_hsdir,built,,BCEDF6C193AA687AE471B8A22EBF6BC57C2D285E,2020-06-19 11:56:21.896000,2020-06-19 11:56:21.897000,2020-06-19 11:56:21.962000,2020-06-19 11:56:22.123000,2020-06-19 11:56:22.315000,2020-06-19 11:56:22.315000,
30,hs_client_hsdir,built,,F48FD1AED068496D51D1384BC7497C04E4985DA6,2020-06-19 11:56:22.001000,2020-06-19 11:56:22.006000,2020-06-19 11:56:22.069000,2020-06-19 11:56:22.197000,2020-06-19 11:56:22.473000,2020-06-19 11:56:22.198000,2020-06-19 11:56:22.474000
31,hs_client_hsdir,built,,5FE83AD106B498D5A3EA7A48FB73749AF2897E5B,2020-06-19 11:56:22.069000,2020-06-19 11:56:22.080000,2020-06-19 11:56:22.232000,2020-06-19 11:56:22.294000,2020-06-19 11:56:22.612000,2020-06-19 11:56:22.612000,
32,hs_client_hsdir,built,,5436FC72ABDEAC39BF58E64E5E12C462A7D3D088,2020-06-19 11:56:22.097000,2020-06-19 11:56:22.135000,2020-06-19 11:56:22.294000,2020-06-19 11:56:22.529000,2020-06-19 11:56:22.855000,2020-06-19 11:56:22.855000,
33,hs_client_hsdir,built,,7AFE734263C947ADD88D094C6E3CB71A34062724,2020-06-19 11:56:22.197000,2020-06-19 11:56:22.200000,2020-06-19 11:56:22.240000,2020-06-19 11:56:22.338000,2020-06-19 11:56:22.432000,2020-06-19 11:56:22.433000,
34,hs_client_hsdir,built,,9370F55D4BBF72FBDF13C41D65C8B814B4300CC8,2020-06-19 11:56:22.290000,2020-06-19 11:56:22.301000,2020-06-19 11:56:22.471000,2020-06-19 11:56:22.651000,2020-06-19 11:56:22.934000,2020-06-19 11:56:22.935000,
35,hs_client_hsdir,built,,DECD0208031D6037EC4B4C16C91E3E54EC9C8A3E,2020-06-19 11:56:22.301000,2020-06-19 11:56:22.314000,2020-06-19 11:56:22.473000,2020-06-19 11:56:22.639000,2020-06-19 11:56:22.766000,2020-06-19 11:56:22.766000,
36,hs_client_hsdir,built,,72FF4C64E28396446B58892C356B61A8018C5C95,2020-06-19 11:56:22.309000,2020-06-19 11:56:22.314000,2020-06-19 11:56:22.472000,2020-06-19 11:56:22.687000,2020-06-19 11:56:22.953000,2020-06-19 11:56:22.953000,
37,hs_client_hsdir,built,,413317EDE5FA882318F47B8752531A726D7BEF08,2020-06-19 11:56:22.489000,2020-06-19 11:56:22.496000,2020-06-19 11:56:22.538000,2020-06-19 11:56:22.612000,2020-06-19 11:56:22.727000,2020-06-19 11:56:22.728000,
