circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
28,hs_client_hsdir,built,,C5A3098B98FE432B9B875BEAE8BFFA6462776FF7,2020-06-19 12:26:56.359000,2020-06-19 12:26:56.370000,2020-06-19 12:26:56.415000,2020-06-19 12:26:56.560000,2020-06-19 12:26:56.647000,2020-06-19 12:26:56.648000,
29,hs_client_hsdir,built,,4BC2C524ADCEE939E6EB0863813DCC98D4C87D44,2020-06-19 12:26:56.506000,2020-06-19 12:26:56.512000,2020-06-19 12:26:56.568000,2020-06-19 12:26:56.671000,2020-06-19 12:26:56.988000,2020-06-19 12:26:56.672000,2020-06-19 12:26:56.989000
30,hs_client_hsdir,built,,C5A53BCC174EF8FD0DCB223E4AA929FA557DEDB2,2020-06-19 12:26:56.758000,2020-06-19 12:26:56.761000,2020-06-19 12:26:56.830000,2020-06-19 12:26:56.976000,2020-06-19 12:26:57.253000,2020-06-19 12:26:57.254000,
31,hs_client_hsdir,failed,timeout,,2020-06-19 12:26:56.865000,2020-06-19 12:26:56.866000,,,,2020-06-19 12:27:11.513000,
32,hs_client_hsdir,built,,9FFA1F53E426851C3C5D36BEBBCD835CAED052C7,2020-06-19 12:26:56.948000,2020-06-19 12:26:56.957000,2020-06-19 12:26:56.997000,2020-06-19 12:26:57.085000,2020-06-19 12:26:57.255000,2020-06-19 12:26:57.255000,
33,hs_client_hsdir,failed,timeout,,2020-06-19 12:26:57.397000,2020-06-19 12:26:57.402000,,,,2020-06-19 12:27:11.514000,
34,hs_client_hsdir,built,,3AF8390D3F4B8103DA297CFD514B35740781B87D,2020-06-19 12:26:57.420000,2020-06-19 12:26:57.434000,2020-06-19 12:26:57.507000,2020-06-19 12:26:57.616000,2020-06-19 12:26:57.795000,2020-06-19 12:26:57.796000,
35,hs_client_hsdir,built,,C2AAB088555850FC434E68943F551072042B85F1,2020-06-19 12:26:57.505000,2020-06-19 12:26:57.508000,2020-06-19 12:26:57.572000,2020-06-19 12:26:57.688000,2020-06-19 12:26:57.888000,2020-06-19 12:26:57.689000,2020-06-19 12:26:57.889000
36,hs_client_hsdir,built,,3AF69B3ECCB000879CA1BCD0B36B619DBF712291,2020-06-19 12:26:57.965000,2020-06-19 12:26:57.968000,2020-06-19 12:26:58.019000,2020-06-19 12:26:58.120000,2020-06-19 12:26:58.402000,2020-06-19 12:26:58.403000,
37,measure_timeout,built,timeout,,2020-06-19 12:26:58.086000,2020-06-19 12:26:58.098000,2020-06-19 12:26:58.150000,2020-06-19 12:26:58.226000,2020-06-19 12:27:14.776000,2020-06-19 12:27:11.514000,2020-06-19 12:27:14.776000
38,hs_client_hsdir,built,,A0F37CE63F0A894E02DAD31CBA839BD193EDAC3A,2020-06-19 12:26:58.150000,2020-06-19 12:26:58.151000,2020-06-19 12:26:58.195000,2020-06-19 12:26:58.245000,2020-06-19 12:26:58.380000,2020-06-19 12:26:58.381000,
39,hs_client_hsdir,built,,3AFDAAD91A15B4C6A7686A53AA8627CA871FF491,2020-06-19 12:26:58.499000,2020-06-19 12:26:58.507000,2020-06-19 12:26:58.700000,2020-06-19 12:26:58.774000,2020-06-19 12:26:59.146000,2020-06-19 12:26:58.774000,2020-06-19 12:26:59.146000
40,hs_client_hsdir,built,,A0F06C2FADF88D3A39AA3072B406F09D7095AC9E,2020-06-19 12:26:58.526000,2020-06-19 12:26:58.530000,2020-06-19 12:26:58.572000,2020-06-19 12:26:58.646000,2020-06-19 12:26:58.751000,2020-06-19 12:26:58.751000,
41,hs_client_hsdir,built,,8D093C9C2B42BC224A5319A660A6CF5EDEFE839F,2020-06-19 12:26:58.735000,2020-06-19 12:26:58.751000,2020-06-19 12:26:58.876000,2020-06-19 12:26:59.071000,2020-06-19 12:26:59.403000,2020-06-19 12:26:59.403000,
42,hs_client_hsdir,built,,A0EDBDA8F24757429DAC82891181D96870623C4E,2020-06-19 12:26:58.933000,2020-06-19 12:26:58.965000,2020-06-19 12:26:59.010000,2020-06-19 12:26:59.145000,2020-06-19 12:26:59.237000,2020-06-19 12:26:59.237000,
43,hs_client_hsdir,built,,CE58CF666F209857502FCEAF1CB52F638AFFBD63,2020-06-19 12:26:59.408000,2020-06-19 12:26:59.458000,2020-06-19 12:26:59.498000,2020-06-19 12:26:59.548000,2020-06-19 12:26:59.636000,2020-06-19 12:26:59.637000,
44,hs_client_hsdir,built,,BCE2851120595E76E31645633F5FF4771D2097BD,2020-06-19 12:26:59.498000,2020-06-19 12:26:59.505000,2020-06-19 12:26:59.602000,2020-06-19 12:26:59.693000,2020-06-19 12:26:59.983000,2020-06-19 12:26:59.694000,2020-06-19 12:26:59.984000
45,hs_client_hsdir,built,,2A66F6F650C8B75719F319E38F07E0A52277CD36,2020-06-19 12:26:59.781000,2020-06-19 12:26:59.789000,2020-06-19 12:26:59.833000,2020-06-19 12:26:59.943000,2020-06-19 12:27:00.095000,2020-06-19 12:27:00.095000,
46,hs_client_hsdir,built,,CE77F6A537FD1ECCCDFF0FE8E5FB446A438E3754,2020-06-19 12:26:59.781000,2020-06-19 12:26:59.789000,2020-06-19 12:26:59.833000,2020-06-19 12:26:59.908000,2020-06-19 12:27:00.028000,2020-06-19 12:27:00.029000,
47,hs_client_hsdir,built,,BCDE75725B927738B6FD34EA2D78F4FA77B99848,2020-06-19 12:27:00.128000,2020-06-19 12:27:00.130000,2020-06-19 12:27:00.185000,2020-06-19 12:27:00.295000,2020-06-19 12:27:00.545000,2020-06-19 12:27:00.545000,
48,hs_client_hsdir,built,,8D1085E818D0473EC693E3B0911FF18741F1F2DF,2020-06-19 12:27:00.266000,2020-06-19 12:27:00.274000,2020-06-19 12:27:00.322000,2020-06-19 12:27:00.406000,2020-06-19 12:27:00.588000,2020-06-19 12:27:00.588000,
49,general,failed,destroyed,,2020-06-19 12:27:00.500000,2020-06-19 12:27:00.511000,2020-06-19 12:27:00.544000,,,2020-06-19 12:27:00.575000,
50,measure_timeout,failed,timeout,,2020-06-19 12:27:00.742000,2020-06-19 12:27:00.746000,2020-06-19 12:27:42.245000,2020-06-19 12:27:50.129000,,2020-06-19 12:27:11.514000,
51,hs_client_hsdir,built,,2A8D8F430B2947D1F00CC776A628C972356BAC09,2020-06-19 12:27:00.745000,2020-06-19 12:27:00.757000,2020-06-19 12:27:00.801000,2020-06-19 12:27:00.939000,2020-06-19 12:27:01.284000,2020-06-19 12:27:01.285000,
52,hs_client_hsdir,built,,BCB6AC303A69A7E87BB2D6F3F13A0C0F0A6C938E,2020-06-19 12:27:00.801000,2020-06-19 12:27:00.843000,2020-06-19 12:27:00.895000,2020-06-19 12:27:00.999000,2020-06-19 12:27:01.184000,2020-06-19 12:27:01.185000,
53,hs_client_hsdir,built,,76F3558CB26F41F89DEC685BAE666018B6AB808B,2020-06-19 12:27:01.450000,2020-06-19 12:27:01.461000,2020-06-19 12:27:01.491000,2020-06-19 12:27:01.562000,2020-06-19 12:27:01.718000,2020-06-19 12:27:01.719000,
54,hs_client_hsdir,built,,2A6E7ABF43F9796AD4A13DF2B2047F90E7291A5F,2020-06-19 12:27:01.498000,2020-06-19 12:27:01.543000,2020-06-19 12:27:01.592000,2020-06-19 12:27:01.781000,2020-06-19 12:27:02.020000,2020-06-19 12:27:02.021000,
55,hs_client_hsdir,built,,E9F71AC06F29B2110E3FC09016B0E50407444EE2,2020-06-19 12:27:01.502000,2020-06-19 12:27:01.544000,2020-06-19 12:27:01.591000,2020-06-19 12:27:01.673000,2020-06-19 12:27:01.923000,2020-06-19 12:27:01.674000,2020-06-19 12:27:01.924000
56,hs_client_hsdir,built,,76F6698A624DD1762A5CACC832460EC9E8A34774,2020-06-19 12:27:01.860000,2020-06-19 12:27:01.871000,2020-06-19 12:27:01.922000,2020-06-19 12:27:02.086000,2020-06-19 12:27:02.331000,2020-06-19 12:27:02.331000,
57,hs_client_hsdir,built,,D08660B6D70B6249A57D89BB7A8F2EA2C952BD35,2020-06-19 12:27:02.224000,2020-06-19 12:27:02.238000,2020-06-19 12:27:02.310000,2020-06-19 12:27:02.515000,2020-06-19 12:27:02.665000,2020-06-19 12:27:02.665000,
58,hs_client_hsdir,built,,8D20E0D3C7A9D7235334E1C2CCA6BAA26C3F45C9,2020-06-19 12:27:02.368000,2020-06-19 12:27:02.372000,2020-06-19 12:27:02.417000,2020-06-19 12:27:02.492000,2020-06-19 12:27:02.626000,2020-06-19 12:27:02.627000,
59,hs_client_hsdir,built,,7088D485934E8A403B81531F8C90BDC75FA43C98,2020-06-19 12:27:02.509000,2020-06-19 12:27:02.523000,2020-06-19 12:27:02.625000,2020-06-19 12:27:02.707000,2020-06-19 12:27:02.878000,2020-06-19 12:27:02.707000,2020-06-19 12:27:02.878000
60,hs_client_hsdir,built,,76F3A81A0784DCF536F6DE19F98EAEB1F89DECCF,2020-06-19 12:27:02.642000,2020-06-19 12:27:02.643000,2020-06-19 12:27:02.687000,2020-06-19 12:27:02.775000,2020-06-19 12:27:02.879000,2020-06-19 12:27:02.880000,
61,hs_client_hsdir,built,,D079D6818926684C5979C18171FB18862A4A5792,2020-06-19 12:27:02.832000,2020-06-19 12:27:02.843000,2020-06-19 12:27:02.884000,2020-06-19 12:27:03.048000,2020-06-19 12:27:03.224000,2020-06-19 12:27:03.224000,
62,hs_client_hsdir,built,,706B1ED9AF5CCAC90AD488AE2691B358FA598CBB,2020-06-19 12:27:03.144000,2020-06-19 12:27:03.155000,2020-06-19 12:27:03.223000,2020-06-19 12:27:03.302000,2020-06-19 12:27:03.623000,2020-06-19 12:27:03.624000,
63,hs_client_hsdir,built,,D099475CCDD72A0BA1C8FD139D87F2D2A931D3C0,2020-06-19 12:27:03.341000,2020-06-19 12:27:03.352000,2020-06-19 12:27:03.395000,2020-06-19 12:27:03.458000,2020-06-19 12:27:03.567000,2020-06-19 12:27:03.567000,
64,hs_client_hsdir,built,,7070199EF60B5B1AE4EA2EFB4881F9F90B6FA9EF,2020-06-19 12:27:03.508000,2020-06-19 12:27:03.520000,2020-06-19 12:27:03.666000,2020-06-19 12:27:03.968000,2020-06-19 12:27:04.401000,2020-06-19 12:27:03.969000,2020-06-19 12:27:04.402000
65,hs_client_hsdir,built,,EFEACD781604EB80FBC025EDEDEA2D523AEAAA2F,2020-06-19 12:27:03.741000,2020-06-19 12:27:03.750000,2020-06-19 12:27:03.802000,2020-06-19 12:27:04.011000,2020-06-19 12:27:04.133000,2020-06-19 12:27:04.134000,
66,hs_client_hsdir,built,,EA1AF22E93AC7B8A00DB3197913EE5CAE11FC2F7,2020-06-19 12:27:03.744000,2020-06-19 12:27:03.759000,2020-06-19 12:27:03.859000,2020-06-19 12:27:03.988000,2020-06-19 12:27:04.274000,2020-06-19 12:27:04.275000,
67,hs_client_hsdir,failed,destroyed,,2020-06-19 12:27:03.910000,2020-06-19 12:27:03.911000,,,,2020-06-19 12:27:03.918000,
68,hs_client_hsdir,built,,EFF32E0B2BA102251F3F717CB3988896EEB3A8AE,2020-06-19 12:27:04.249000,2020-06-19 12:27:04.252000,2020-06-19 12:27:04.313000,2020-06-19 12:27:04.388000,2020-06-19 12:27:04.548000,2020-06-19 12:27:04.549000,
69,hs_client_hsdir,built,,B665D5F9D3F41CC5AC3F97F306F7D59F90B03AAB,2020-06-19 12:27:04.511000,2020-06-19 12:27:04.515000,2020-06-19 12:27:04.613000,2020-06-19 12:27:04.795000,2020-06-19 12:27:05.039000,2020-06-19 12:27:04.795000,2020-06-19 12:27:05.040000
70,hs_client_hsdir,built,,EA43347E0DA7CEDD595029B511066628C7C8A653,2020-06-19 12:27:04.694000,2020-06-19 12:27:04.696000,2020-06-19 12:27:04.759000,2020-06-19 12:27:04.943000,2020-06-19 12:27:05.106000,2020-06-19 12:27:05.106000,
71,hs_client_hsdir,built,,2E72EEABE4EE19183BEFAA10D88B3C16829C9F99,2020-06-19 12:27:04.732000,2020-06-19 12:27:04.747000,2020-06-19 12:27:04.805000,2020-06-19 12:27:04.909000,2020-06-19 12:27:05.060000,2020-06-19 12:27:05.060000,
72,hs_client_hsdir,built,,80F9AC81E0C64C6CFEBE264522C545604F2C4361,2020-06-19 12:27:04.765000,2020-06-19 12:27:04.804000,2020-06-19 12:27:04.825000,2020-06-19 12:27:04.877000,2020-06-19 12:27:05.041000,2020-06-19 12:27:05.041000,
73,hs_client_hsdir,built,,810502526620EE3D20D7A7FC779AC907FB872B0C,2020-06-19 12:27:05.247000,2020-06-19 12:27:05.258000,2020-06-19 12:27:05.379000,2020-06-19 12:27:05.585000,2020-06-19 12:27:05.894000,2020-06-19 12:27:05.894000,
74,hs_client_hsdir,built,,B65CC2B45CE9C934D1E1254736166D6AB64C2ABC,2020-06-19 12:27:05.250000,2020-06-19 12:27:05.271000,2020-06-19 12:27:05.344000,2020-06-19 12:27:05.429000,2020-06-19 12:27:05.698000,2020-06-19 12:27:05.699000,
75,hs_client_hsdir,built,,95A30F58E3DE3BE75D5CBAF7426BBF5786F2C1E3,2020-06-19 12:27:05.277000,2020-06-19 12:27:05.323000,2020-06-19 12:27:05.345000,2020-06-19 12:27:05.430000,2020-06-19 12:27:05.696000,2020-06-19 12:27:05.697000,
