nickname,fingerprint,or_address_v4,dir_address,country,advertised_bandwidth,guard_probability
Unnamed,99339F3E68BCCC1391BF14C821D80766FE0C5956,54.36.166.86:9001,54.36.166.86:9030,gb,85356492,0.0034516929
quadhead,BF0FB582E37F738CD33C3651125F2772705BB8E8,148.251.190.229:9010,148.251.190.229:9030,de,87178812,0.0031340523
normaray,CD39C258265B25EAA4ABA4FDCB2DF98104CAA362,94.130.200.167:443,94.130.200.167:80,de,62620903,0.0023505392
acT0r,14D57DEDF0A4554A2D21AD53CCCC43E31158C733,136.243.39.185:8443,136.243.39.185:4080,de,73121969,0.0023293633
aSmallRelay,0C6D3655763B1A3A60FC42135CD60765AFE953BA,116.202.238.106:9001,none,de,60449421,0.002096427
chocolaterain,40CDE936B04B4573A47223396006443CA5EAC845,176.9.53.202:8000,176.9.53.202:9090,de,52711074,0.0018592554
sarahmanning,B872BA6804C8C6E140AE1897B44CF32B42FD2397,62.210.83.207:8008,62.210.83.207:8081,fr,55024079,0.0018126682
PataquetsDockerTor,71A05B576836F54050348AA0D63185B12DBA51E3,88.198.90.40:9001,88.198.90.40:9030,de,51603925,0.0017787864
eridanus,10A5EFCCD2FB9C1A4AC20FB779A5DB11B58957A7,213.239.218.195:9001,213.239.218.195:9030,de,45192150,0.0017152583
atomcats,9AB93B5422149E5DFF4BE6A3814E2F6D9648DB6A,51.68.204.139:9001,51.68.204.139:9030,gb,62591152,0.0016114959
cosimaniehaus,24F97F98C45E4754655BE66799049763DAEE99CE,136.243.4.139:8008,136.243.4.139:8081,de,46498443,0.0015373797
fakename,795790C25BDE834B836EA54DD96DB2610829573B,51.255.75.3:443,none,fr,47425362,0.0015246741
Unnamed,3E53D3979DB07EFD736661C934A1DED14127B684,217.79.179.177:9001,217.79.179.177:9030,de,38725632,0.0015225565
bituman,431702B3A68A6015F9955DD4FD0129175B43EA0F,45.132.246.38:9001,45.132.246.38:9030,de,38723366,0.0014992629
London2,0F6E56C326DC9719942E8BBA58C22F71332DA891,51.75.163.249:9001,51.75.163.249:9030,gb,32991366,0.0012917378
BeastieJoy62,A2E6BB5C391CD46B38C55B4329C35304540771F1,79.133.36.68:443,79.133.36.68:993,de,30720000,0.0012642089
freep3p3,901CBA6FF3B90618D3FFEFF040353C267F690DF8,94.23.222.72:8080,94.23.222.72:9030,fr,32062488,0.0012493858
Unnamed,9C34EAD957DF77978BCF356F3F96B9A79E3961CB,49.12.32.218:443,49.12.32.218:8443,de,31038731,0.0012387977
Kimchi,D0273C8566CC9AECE4C762376C9B066FE0F1DADD,54.36.120.156:443,54.36.120.156:80,fr,33090372,0.0012027984
Waldmeister3,34979DBD475FFED9CF6556E349DDEDEE69104345,145.239.7.170:443,145.239.7.170:80,gb,36857031,0.0012006809
Doedel26,9F5068310818ED7C70B0BC4087AB55CB12CB4377,89.163.128.29:443,89.163.128.29:80,de,30720000,0.0011985633
torcatgirlcloud,FC1E441E097BA36930AA2F615EFB325AF76D2595,78.47.155.100:9001,78.47.155.100:9030,de,39465231,0.0011773872
Unnamed,66F8C32B94D73B51A5D2FA079C6A09047C9ABA71,195.201.3.233:443,195.201.3.233:8443,de,31700460,0.0011392704
FalkensteinTor01,B70BD334FFEE23E653B75219AE12CF0236BCFCBB,195.201.168.111:443,none,de,31457280,0.0010926832
FalkensteinTor03,128FC6D8FBF753121C5662FEE309CCD47B64BA6B,144.76.236.27:9001,none,de,31457280,0.0010842127
lpf3,05B451C0562FDE23307AFA84FD6A37652E615233,95.154.194.31:9001,95.154.194.31:9030,gb,34584578,0.0010715071
FalkensteinTor02,0512FE6BE9CCA0ED133152E64010B2FBA141EB10,5.9.43.211:9001,none,de,31457280,0.00095292134
kraghtorn,1DC17C4A52A458B5C8B1E79157F8665696210E10,51.15.47.17:9001,51.15.47.17:9030,nl,28825943,0.00082586514
Unnamed,331452F317390D3C78BCD759170699E55C5570C9,94.130.108.214:443,94.130.108.214:8443,de,29758525,0.00082162995
rofltor07,15BE17C99FACE24470D40AF782D6A9C692AB36D6,51.15.78.0:9001,51.15.78.0:9030,nl,23701629,0.0007221026
