nickname,fingerprint,or_address_v4,dir_address,country,advertised_bandwidth,guard_probability
trex,912B7597346A74A44AD4B6068C645772B758DCB7,46.4.124.165:9001,none,de,26389075,0.00078856107
Goliath,1E03D81C9744DE0E3C9DE6E6FBDF1DF9DAEA5AFC,185.107.83.1:443,185.107.83.1:80,nl,62583377,0.00078437774
kramse3,F94A7BAC5D1E3D9372437141E10695A625B8B533,185.129.60.131:9001,185.129.60.131:9030,dk,35091292,0.0007530026
niij01,230A8B2A8BA861210D9B4BA97745AEC217A94207,163.172.176.167:443,163.172.176.167:80,fr,28312576,0.0007362692
kerly,3BB035514F8246AC367B5370F4FE120BB11D8C6D,93.115.95.38:443,93.115.95.38:80,ro,29325059,0.0007320859
lamomiesinistre,7674C383F7F551E065E3E95BBCFC067157546A17,62.210.99.162:443,62.210.99.162:80,fr,34203945,0.00071116915
Unnamed,B8F6E68B36BEE2BF548750BDCCC3C2A7DB56A623,51.68.182.30:443,none,pt,34798098,0.0006902524
Unnamed,3B60AEB127F4A8CDE7F3798B799EBDC3463FB9C7,195.201.3.234:443,195.201.3.234:8443,de,19457058,0.000679794
Free,35513B1D2EA70649346C3C6D34F63D6982E3948A,5.1.56.52:9001,5.1.56.52:9030,cz,20971520,0.000679794
arbitraryTessa2,3F43D0584A2613C9DB631382FF486DC6B95EA1C8,95.216.19.206:443,95.216.19.206:80,fi,36122249,0.0006651523
mj2,B849824F8FCD7AEB130DF356F592BA40C686CA08,93.115.86.6:443,93.115.86.6:80,ro,24554318,0.0006484189
Unnamed,E5A3CA10182C35F691BCF678F193D10F4B0F972F,78.108.111.112:9001,78.108.111.112:9030,cz,21911002,0.00062331883
lamomieauguste,0C6CA58153400FA077EABB14773E36FD61BF0D75,81.17.19.58:9001,81.17.19.58:9030,ch,21969771,0.0006065854
3735928559,A96DA63E4415E776FBFCCF3DA7154C804534B6E7,38.39.192.78:443,38.39.192.78:80,us,27614741,0.0005856687
Tiny,3BBF9D98C7D058D7C2E60F6BA5BD574CB4F3FE26,91.219.238.120:443,91.219.238.120:80,hu,19615990,0.000577302
TorOrDie4privacyNET,8EE44717FA55705C12086F3ECD1F8D9C8676FD05,217.79.181.23:9001,217.79.181.23:9030,de,18886026,0.000564752
fasttor,2CF2DFBA221B77E96E9FE69725AE82F4E101BE4A,77.68.9.198:9001,77.68.9.198:9030,gb,17932752,0.0005626603
Kalahari,7158836DCC91AAA4FAA293FFF0F645DCD0D4EFF9,37.252.4.79:9001,37.252.4.79:8080,de,19225600,0.0005229185
GermanCraft2,DB2682153AC0CCAECD2BD1E9EBE99C6815807A1E,54.36.237.163:443,54.36.237.163:80,de,15342053,0.0005040934
StayStrongRelay01,ED9A731373456FA071C12A3E63E2C8BEF0A6E721,88.99.97.214:443,88.99.97.214:80,de,16825698,0.0004999101
PrivacyNow05,94890F37CE0CD5D020773CA7A0E397AA592E5AF3,88.99.189.40:9001,88.99.189.40:9030,de,12582912,0.0004392515
netzhub,C92F69EE5756200F160CCFAFE9C3C984D3E6D561,195.201.20.82:21,195.201.20.82:22,de,12272646,0.0004183348
TorKIT,B291D30517D23299AD7CEE3E60DFE60D0E3A4664,136.243.214.137:443,136.243.214.137:80,de,10273788,0.00039532638
Unnamed,B7826E5C7C22D696E42AE96B696F66C5E9D86984,95.217.167.152:443,95.217.167.152:8443,fi,21145949,0.00038277634
niftyentry100,7ED3D8AFAC750F8CC0BDF8C87FE3BCBA2BBE2209,185.21.217.33:10035,185.21.217.33:20035,gb,73303647,0.00038068465
ULayerButler,3CFAD0798FF5D3B994F40B8971D4A79D84165A0D,45.11.18.120:443,45.11.18.120:80,de,13876224,0.0003765013
altair,9A51C5D79C30B9F3B527EC77EF901DDAB76C3AB5,46.232.248.149:443,none,de,15571055,0.0003765013
SweRaspiTor3,DCAA176F75B04287131C6D78B7CFDDAC6F2691D9,92.34.132.198:9001,92.34.132.198:9030,se,14253974,0.0003765013
torproxy02,7BB70F8585DFC27E75D692970C0EEB0F22983A63,51.254.136.195:443,51.254.136.195:80,fr,12136781,0.00036395126
neartAurora,08F4692B60862640F688B86826B66F30DEA7AB73,51.15.182.104:9001,none,fr,14154413,0.0003618596
CoudroX,543F96D0C17CDBAC326F644DB0C8A17193BCCFC9,2.57.236.215:9000,2.57.236.215:9001,fr,12308403,0.0003618596
falared,7EB91FDB68EAD3A13808D9356DA82605773215F5,148.251.81.16:110,none,de,10107454,0.00035558458
AntifascistTorRelay,C25E5C62897BACBA309571C2548084B45050FEDF,185.217.93.92:443,185.217.93.92:80,nl,11742477,0.00033466783
Labell,4A59FD3642C4D9F46A8D916AC9BC64390BCBC6AE,51.178.81.25:9001,51.178.81.25:9030,fr,12558611,0.00033257616
tbilisi,39BD825F627DDF78E322EB4378C17615506AD3A1,163.172.210.54:80,163.172.210.54:443,nl,14510073,0.00033257616
BungeeNet2,06B308F54B4A779D74B30536964182A09C08AB8F,51.161.43.236:443,51.161.43.236:80,ca,14357504,0.00031165942
remedy,3FEBFB6A491D30CACC2C2995EDB41717A6F94E95,212.16.170.158:443,212.16.170.158:80,fi,14714163,0.00030747606
Srv3MuchRelay,614094CAF0701EB568106E60EC12A785E704AE0F,173.212.253.172:4443,173.212.253.172:9030,de,11625271,0.00029283436
JdMtOrReLaY1,508EAAA5322C7BF048C8FADBBFB37D0A3E1D9262,159.69.184.172:443,159.69.184.172:9030,de,7797737,0.000282376
NikowskiNode,EECADDB0CBB5725D4DDFE3D7E734E8261E0E9D09,217.182.76.99:53,217.182.76.99:9030,pl,10485760,0.000282376
Cosworth03,1424000B86DF67D1FBFF685B204073BB9591CEFD,54.38.52.101:443,54.38.52.101:80,pl,12050860,0.0002719176
GrmmlNott,CBBA40F7D9F284F47A243EE2C081E96682741D22,176.9.39.196:9001,176.9.39.196:9030,de,25946788,0.00026982595
draco59,FB43FC51B932F6A8FD75AFBBB45FDD19955889DB,62.171.145.37:9001,62.171.145.37:9030,gb,8190631,0.0002091674
ULayerWong,D245C3E824456945C6759599CB8A0547135A066D,107.152.35.69:443,107.152.35.69:80,us,12612484,0.00020895823
anon,DA60C85D526374C1DC8A8796E93F12F7CA3019F2,51.175.245.162:9001,51.175.245.162:9030,no,10240000,0.0002033107
flies,C0F508ADA14AE7EA9F8F6650AF149B8DFC35B598,89.187.143.81:443,89.187.143.81:80,cz,13654528,0.00017172642
Nivrim,9F7D6E6420183C2B76D3CE99624EBC98A21A967E,46.28.110.244:443,46.28.110.244:80,cz,6813448,0.00015164635
snub,6A5B650B830F408286FF870718D3D00B568B7045,205.201.63.48:9001,205.201.63.48:9030,us,9656270,0.00012968379
rinderwahnRelay12L,57C6DF5B93E54EB9C8DB90029D9E9A1111BD34D2,91.201.65.91:443,91.201.65.91:80,it,7245469,0.000115042065
Unnamed,13D13C0ECB5DE7D9B047E21F674505C90C1E0088,23.88.37.63:443,23.88.37.63:8443,us,6111412,9.056948e-05
ephemer4,B340E3BA587E36462D8DE44DAE0F7CAB6748F064,128.232.18.58:9001,128.232.18.58:9030,gb,2560000,7.676443e-05
theia3,6BA54D7805A44F63A75D70AFEC8D2DF6BA7BCAE0,50.7.74.172:9001,50.7.74.172:9030,us,7544833,6.086771e-05
GREDDY2,9781A79A0F156D08302FB8EB8B5A1BB08B60F156,178.33.6.127:9001,none,fr,3528704,6.0658545e-05
crowdedfire,5912529D0861D2FC52BFA65899A8480C365B6872,136.34.66.200:9001,136.34.66.200:9002,us,2621440,3.765013e-05
