circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
7,hs_client_hsdir,built,,8D7A12CE72DDD9A1FC6B18BC3704C136FD1444C0,2020-06-19 09:52:51.042000,2020-06-19 09:52:51.050000,2020-06-19 09:52:51.156000,2020-06-19 09:52:51.399000,2020-06-19 09:52:51.694000,2020-06-19 09:52:51.400000,2020-06-19 09:52:51.694000
8,hs_client_hsdir,built,,D628832091562BD6F28E94DCB56EC3E5B10DC1C6,2020-06-19 09:52:51.623000,2020-06-19 09:52:51.626000,2020-06-19 09:52:51.680000,2020-06-19 09:52:51.798000,2020-06-19 09:52:51.898000,2020-06-19 09:52:51.899000,
9,hs_client_hsdir,built,,3AF69B3ECCB000879CA1BCD0B36B619DBF712291,2020-06-19 09:52:51.802000,2020-06-19 09:52:51.842000,2020-06-19 09:52:51.888000,2020-06-19 09:52:51.962000,2020-06-19 09:52:52.258000,2020-06-19 09:52:52.259000,
10,hs_client_hsdir,built,,3C89C80E2699FB6358BBB64FDC9547AFCB5C03F7,2020-06-19 09:52:51.951000,2020-06-19 09:52:51.962000,2020-06-19 09:52:52.006000,2020-06-19 09:52:52.076000,2020-06-19 09:52:52.169000,2020-06-19 09:52:52.169000,
11,hs_client_hsdir,built,,9DA672F46D0AD9BA59B2FA56A8F343D38C78BF4C,2020-06-19 09:52:52.044000,2020-06-19 09:52:52.070000,2020-06-19 09:52:52.134000,2020-06-19 09:52:52.257000,2020-06-19 09:52:52.451000,2020-06-19 09:52:52.258000,2020-06-19 09:52:52.452000
12,hs_client_hsdir,built,,046F2D59A85FAE693676A87533717C57436261C2,2020-06-19 09:52:52.070000,2020-06-19 09:52:52.076000,2020-06-19 09:52:52.126000,2020-06-19 09:52:52.257000,2020-06-19 09:52:52.331000,2020-06-19 09:52:52.331000,
13,measure_timeout,built,,,2020-06-19 09:52:52.256000,2020-06-19 09:52:52.258000,2020-06-19 09:52:52.297000,2020-06-19 09:53:25.006000,,2020-06-19 09:53:09.082000,2020-06-19 09:53:25.006000
14,hs_client_intro,built,,,2020-06-19 09:52:52.256000,2020-06-19 09:52:52.258000,2020-06-19 09:52:52.295000,2020-06-19 09:52:52.320000,2020-06-19 09:52:52.432000,2020-06-19 09:52:52.433000,
15,hs_client_hsdir,built,,055B155A44A968491D71EEF11D3B6AE38082F6FC,2020-06-19 09:52:52.297000,2020-06-19 09:52:52.297000,2020-06-19 09:52:52.330000,2020-06-19 09:52:52.401000,2020-06-19 09:52:52.541000,2020-06-19 09:52:52.541000,
16,hs_client_hsdir,built,,9EFF16EA25FF27BC438A3FBF23C5315E576467AF,2020-06-19 09:52:52.460000,2020-06-19 09:52:52.499000,2020-06-19 09:52:52.587000,2020-06-19 09:52:52.750000,2020-06-19 09:52:53.016000,2020-06-19 09:52:53.016000,
17,hs_client_hsdir,built,,7D693C2A9C3B0B2D69F473AF1C0E1CBE05EAD412,2020-06-19 09:52:52.515000,2020-06-19 09:52:52.518000,2020-06-19 09:52:52.588000,2020-06-19 09:52:52.698000,2020-06-19 09:52:52.898000,2020-06-19 09:52:52.898000,
18,hs_client_hsdir,built,,2F26D43258285FEB39E4320888DFAFA8A0D20E11,2020-06-19 09:52:52.617000,2020-06-19 09:52:52.619000,2020-06-19 09:52:52.674000,2020-06-19 09:52:52.751000,2020-06-19 09:52:52.826000,2020-06-19 09:52:52.827000,
19,hs_client_hsdir,failed,destroyed,,2020-06-19 09:52:52.716000,2020-06-19 09:52:52.750000,2020-06-19 09:52:52.794000,2020-06-19 09:52:52.863000,,2020-06-19 09:52:52.954000,
20,hs_client_hsdir,built,,CFC15E40B39FCCB9C5B5CED3D2F184ADFBA2CC98,2020-06-19 09:52:52.764000,2020-06-19 09:52:52.773000,2020-06-19 09:52:52.816000,2020-06-19 09:52:53.356000,2020-06-19 09:52:53.510000,2020-06-19 09:52:53.511000,
21,hs_client_hsdir,failed,destroyed,,2020-06-19 09:52:52.952000,2020-06-19 09:52:52.956000,2020-06-19 09:52:53.015000,2020-06-19 09:52:53.102000,,2020-06-19 09:52:53.204000,
22,hs_client_hsdir,built,,6CE3DDFAA9E56F56890235CC9C2385B2DD93E146,2020-06-19 09:52:53.017000,2020-06-19 09:52:53.028000,2020-06-19 09:52:53.103000,2020-06-19 09:52:53.185000,2020-06-19 09:52:53.420000,2020-06-19 09:52:53.420000,
23,hs_client_hsdir,built,,4E98AA295B7171996D18DD1F6A19F64AB4036B4A,2020-06-19 09:52:53.028000,2020-06-19 09:52:53.029000,2020-06-19 09:52:53.064000,2020-06-19 09:52:53.343000,2020-06-19 09:52:53.832000,2020-06-19 09:52:53.832000,
24,hs_client_hsdir,built,,53D79BBFEDB5DE1C3CF4839B2875859CE54D7BB1,2020-06-19 09:52:53.043000,2020-06-19 09:52:53.054000,2020-06-19 09:52:53.104000,2020-06-19 09:52:53.203000,2020-06-19 09:52:53.668000,2020-06-19 09:52:53.203000,2020-06-19 09:52:53.668000
25,hs_client_hsdir,built,,2D8AFA912E2B8623BB2CDACD19332209D524D1A3,2020-06-19 09:52:53.102000,2020-06-19 09:52:53.114000,2020-06-19 09:52:53.184000,2020-06-19 09:52:53.247000,2020-06-19 09:52:53.377000,2020-06-19 09:52:53.378000,
26,hs_client_hsdir,built,,6E4B0D429CD87AB6C25D72E298294C583FF8BA4A,2020-06-19 09:52:53.202000,2020-06-19 09:52:53.210000,2020-06-19 09:52:53.256000,2020-06-19 09:52:53.333000,2020-06-19 09:52:53.480000,2020-06-19 09:52:53.480000,
27,hs_client_hsdir,built,,C5A6FEE5BC3BE19F5B9EB086CA95DAD393D8A4F6,2020-06-19 09:52:53.284000,2020-06-19 09:52:53.312000,2020-06-19 09:52:53.343000,2020-06-19 09:52:53.398000,2020-06-19 09:52:53.698000,2020-06-19 09:52:53.698000,
28,hs_client_hsdir,built,,6E94866ED8CA098BACDFD36D4E8E2B459B8A734E,2020-06-19 09:52:53.550000,2020-06-19 09:52:53.554000,2020-06-19 09:52:53.674000,2020-06-19 09:52:54.082000,2020-06-19 09:52:54.667000,2020-06-19 09:52:54.667000,
29,hs_client_hsdir,built,,547DA56F6B88B6C596B3E3086803CDA4F0EF8F21,2020-06-19 09:52:53.650000,2020-06-19 09:52:53.674000,2020-06-19 09:52:53.725000,2020-06-19 09:52:53.821000,2020-06-19 09:52:54.407000,2020-06-19 09:52:54.407000,
