circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
29,hs_client_hsdir,built,,C44CC64BED927031A5B3B0A7CDF6A9E28F058B3F,2020-06-19 15:09:12.268000,2020-06-19 15:09:12.312000,2020-06-19 15:09:12.350000,2020-06-19 15:09:12.437000,2020-06-19 15:09:12.663000,2020-06-19 15:09:12.663000,
30,hs_client_hsdir,built,,8D3D6023C01D73D5A7AD645E209377BC5ACC6B82,2020-06-19 15:09:12.433000,2020-06-19 15:09:12.446000,2020-06-19 15:09:12.497000,2020-06-19 15:09:12.603000,2020-06-19 15:09:12.771000,2020-06-19 15:09:12.772000,
31,hs_client_hsdir,built,,D60C2D85EAD93D23F1C00874D334BBF8A96CD529,2020-06-19 15:09:12.441000,2020-06-19 15:09:12.458000,2020-06-19 15:09:12.531000,2020-06-19 15:09:12.663000,2020-06-19 15:09:12.826000,2020-06-19 15:09:12.826000,
32,hs_client_hsdir,built,,AF022F351A4B6F2514A09F9245F9FF5ACA729735,2020-06-19 15:09:12.462000,2020-06-19 15:09:12.475000,2020-06-19 15:09:12.519000,2020-06-19 15:09:12.606000,2020-06-19 15:09:12.731000,2020-06-19 15:09:12.731000,
33,hs_client_hsdir,built,,288DA2F27E30BC73FC8A84367696C9DF6B4C1B90,2020-06-19 15:09:12.575000,2020-06-19 15:09:12.603000,2020-06-19 15:09:12.634000,2020-06-19 15:09:12.674000,2020-06-19 15:09:12.738000,2020-06-19 15:09:12.738000,
34,hs_client_hsdir,built,,00CCE6A84E6D63A1A42E105839BC8ED5D4B16669,2020-06-19 15:09:12.590000,2020-06-19 15:09:12.614000,2020-06-19 15:09:12.673000,2020-06-19 15:09:12.869000,2020-06-19 15:09:13.218000,2020-06-19 15:09:13.219000,
35,hs_client_hsdir,built,,8E76F1F6E8499CCE975C451560586A5F8BF0BFDB,2020-06-19 15:09:12.599000,2020-06-19 15:09:12.614000,2020-06-19 15:09:12.663000,2020-06-19 15:09:12.717000,2020-06-19 15:09:12.869000,2020-06-19 15:09:12.870000,
36,hs_client_hsdir,built,,4C5B8134341E66CB09246985E4039F9BFC0ADCE3,2020-06-19 15:09:12.611000,2020-06-19 15:09:12.626000,2020-06-19 15:09:12.825000,2020-06-19 15:09:13.159000,2020-06-19 15:09:13.475000,2020-06-19 15:09:13.475000,
37,hs_client_hsdir,built,,DB5A100152FB7937F02F00B5DDFFFD012789C242,2020-06-19 15:09:12.630000,2020-06-19 15:09:12.645000,2020-06-19 15:09:12.692000,2020-06-19 15:09:12.756000,2020-06-19 15:09:12.840000,2020-06-19 15:09:12.841000,
38,hs_client_hsdir,built,,ABD4790930773E9F2D855A1C3D5D5B4B5DF80A46,2020-06-19 15:09:12.711000,2020-06-19 15:09:12.731000,2020-06-19 15:09:12.770000,2020-06-19 15:09:12.840000,2020-06-19 15:09:13.001000,2020-06-19 15:09:13.001000,
39,hs_client_hsdir,built,,E38CCCE275ADC46DF35FB764AA28D4EF722CFA54,2020-06-19 15:09:12.825000,2020-06-19 15:09:12.840000,2020-06-19 15:09:12.887000,2020-06-19 15:09:13.045000,2020-06-19 15:09:13.431000,2020-06-19 15:09:13.432000,
40,hs_client_hsdir,built,,3EEEB7021D974D38B6D97BEFB55E5E48551A8FEA,2020-06-19 15:09:12.838000,2020-06-19 15:09:12.848000,2020-06-19 15:09:12.911000,2020-06-19 15:09:13.027000,2020-06-19 15:09:13.161000,2020-06-19 15:09:13.162000,
41,hs_client_hsdir,built,,03B1B21D72373510E1DEFE2E193932576B157368,2020-06-19 15:09:12.844000,2020-06-19 15:09:12.860000,2020-06-19 15:09:12.930000,2020-06-19 15:09:13.035000,2020-06-19 15:09:13.220000,2020-06-19 15:09:13.220000,
42,hs_client_hsdir,built,,52E018563FA31D13D6776E0897AF68AA3E21EA08,2020-06-19 15:09:12.907000,2020-06-19 15:09:12.918000,2020-06-19 15:09:12.958000,2020-06-19 15:09:13.130000,2020-06-19 15:09:13.327000,2020-06-19 15:09:13.327000,
43,hs_client_hsdir,built,,510176C07005D47B23E6796F02C93241A29AA0E9,2020-06-19 15:09:12.907000,2020-06-19 15:09:12.918000,2020-06-19 15:09:12.948000,2020-06-19 15:09:13.046000,2020-06-19 15:09:13.340000,2020-06-19 15:09:13.046000,2020-06-19 15:09:13.341000
44,hs_client_hsdir,built,,DADCAD37DE5E22E7E1F323927260155EAB3689C2,2020-06-19 15:09:12.917000,2020-06-19 15:09:12.930000,2020-06-19 15:09:12.969000,2020-06-19 15:09:13.057000,2020-06-19 15:09:13.259000,2020-06-19 15:09:13.260000,
45,hs_client_hsdir,built,,28ADDFB4F18B73B883EAC55A5576831432EC15A7,2020-06-19 15:09:12.993000,2020-06-19 15:09:13.018000,2020-06-19 15:09:13.056000,2020-06-19 15:09:13.186000,2020-06-19 15:09:13.355000,2020-06-19 15:09:13.356000,
46,hs_client_hsdir,built,,CC09DFB016081AD50686DAC96440BB2D6F343251,2020-06-19 15:09:13.017000,2020-06-19 15:09:13.031000,2020-06-19 15:09:13.079000,2020-06-19 15:09:13.228000,2020-06-19 15:09:13.373000,2020-06-19 15:09:13.373000,
47,hs_client_hsdir,built,,43AD3376735B4A227920AD06D2D9B6970B3C75DF,2020-06-19 15:09:13.018000,2020-06-19 15:09:13.032000,2020-06-19 15:09:13.117000,2020-06-19 15:09:13.355000,2020-06-19 15:09:13.572000,2020-06-19 15:09:13.572000,
48,hs_client_hsdir,built,,C6604D457AC319E53DC314B81F0EF9D16CB937A0,2020-06-19 15:09:13.028000,2020-06-19 15:09:13.035000,2020-06-19 15:09:13.080000,2020-06-19 15:09:13.160000,2020-06-19 15:09:13.229000,2020-06-19 15:09:13.230000,
49,hs_client_hsdir,built,,8646226690C1D4F2DDC3021F89909A26A8C32A27,2020-06-19 15:09:13.035000,2020-06-19 15:09:13.045000,2020-06-19 15:09:13.129000,2020-06-19 15:09:13.304000,2020-06-19 15:09:13.470000,2020-06-19 15:09:13.470000,
