nickname,fingerprint,is_guard,is_exit,country,region_name,city_name,latitude,longitude,as,advertised_bandwidth,guard_probability,middle_probability,exit_probability
Planetclaire63,ED7F2BE5D2AC7FCF821A909E2486FFFB95D65272,True,False,de,unknown,unknown,51.2993,9.491,AS35366,10240000,0.00021544241,0.00015073323,0.0
Unnamed,ED7FDF68D504AEED4E28C6396B3E4A4ED04406B9,False,False,jp,Tokyo,Tokyo,35.6882,139.7532,AS7506,2615296,0.0,4.5509954e-05,0.0
RumAppointment,ED8D4E97453D7510A934B4FECFDAB35104FD7CAE,True,False,us,California,San Francisco,37.7506,-122.4121,AS46375,6677536,8.366696e-05,5.8537178e-05,0.0
BungeeCloud,ED935DA72EB9882A23BEAD0C5D03635D3B6CDD4F,True,True,fr,Hauts-de-France,Roubaix,50.6974,3.178,AS16276,29670352,0.0,0.0,0.001970062
Unnamed,ED943D5D32B3935862916A1BE33E7780DB51DBC6,False,False,de,Bavaria,Obertraubling,48.9667,12.1667,AS3320,2753010,0.0,3.804348e-05,0.0
gnarzkorf,ED94E82A94CD7E5D71BB14522E8D213875632451,False,False,de,Land Berlin,Berlin,52.5449,13.4126,AS6805,256000,0.0,2.1688338e-06,0.0
TahoeTor4,ED96C0D8C4EA7753D8F2A63BB00AFBF96C419853,False,False,us,Nevada,Incline Village,39.2564,-119.9521,AS20115,1024000,0.0,9.599757e-06,0.0
StayStrongRelay01,ED9A731373456FA071C12A3E63E2C8BEF0A6E721,True,False,de,unknown,unknown,51.2993,9.491,AS24940,16825698,0.0004999101,0.00034975965,0.0
Karlstad1,EDAF30C58D6CCF359EA062C668C7180A17076440,True,False,se,unknown,unknown,59.3247,18.056,AS1653,7094467,0.00013993299,9.790343e-05,0.0
lkerry,EDB9C65B939940EC5E9DA800EE1574F1D68042B4,True,False,pl,Mazovia,Warsaw,52.25,21.0,AS16276,9488384,0.00024472584,0.00017122125,0.0
niftyjunipervole,EDC4243F57F9B856B400398D5F6C354F8408EEA9,True,True,de,unknown,unknown,51.2993,9.491,AS200052,31547033,0.0,0.0,0.0014861203
OughtEcology,EDC89E2825E4A08392C6DF1F18B3B0D6DB148597,False,False,us,California,San Mateo,37.5517,-122.33,AS45102,1906606,0.0,9.955303e-06,0.0
none,EDC9D832FBEAF949F610D3F6A55537291B4E8F26,True,False,de,unknown,unknown,51.2993,9.491,AS197540,9437184,0.00029492602,0.00020634355,0.0
Quintex74,EDCDF42475CD60A8EBDFA7CFE64B5006AB9FA783,False,True,us,unknown,unknown,37.751,-97.822,AS62744,7251968,0.0,0.0,0.00012803498
StandForFreedom,EDEA19172EC8B1463BDD19E3A18778C5756710A1,True,False,us,Texas,Dallas,32.7787,-96.8217,AS63949,3141279,5.5011024e-05,3.8488197e-05,0.0
