circ_id,final_purpose,final_status,reason,hsdir_fp,start,extended_1,extended_2,extended_3,extended_4,end,rebuilt
28,hs_client_hsdir,built,,BF5C0C5D3A1C6654FEBA5FF66B00734DF073DB50,2020-06-19 09:54:16.294000,2020-06-19 09:54:16.322000,2020-06-19 09:54:16.372000,2020-06-19 09:54:16.479000,2020-06-19 09:54:16.736000,2020-06-19 09:54:16.479000,2020-06-19 09:54:16.737000
29,hs_client_hsdir,built,,A91F3E4D2CCD81F5C865E143525F92A790CDF17E,2020-06-19 09:54:16.322000,2020-06-19 09:54:16.331000,2020-06-19 09:54:16.383000,2020-06-19 09:54:16.479000,2020-06-19 09:54:16.702000,2020-06-19 09:54:16.703000,
30,hs_client_hsdir,built,,372A38794527887333B52ED1D707609D808C0659,2020-06-19 09:54:16.424000,2020-06-19 09:54:16.425000,2020-06-19 09:54:16.465000,2020-06-19 09:54:16.541000,2020-06-19 09:54:16.692000,2020-06-19 09:54:16.693000,
31,hs_client_hsdir,built,,ED6AF8CE8CF4126A6F33572376B6D8977FED2DD9,2020-06-19 09:54:16.477000,2020-06-19 09:54:16.482000,2020-06-19 09:54:16.823000,2020-06-19 09:54:16.979000,2020-06-19 09:54:17.178000,2020-06-19 09:54:17.178000,
32,hs_client_hsdir,failed,timeout,,2020-06-19 09:54:16.646000,2020-06-19 09:54:16.691000,2020-06-19 09:54:16.724000,,,2020-06-19 09:54:22.333000,
33,hs_client_hsdir,built,,283312BB249FCB6633A7C7E1E8241461000E6004,2020-06-19 09:54:16.812000,2020-06-19 09:54:16.825000,2020-06-19 09:54:16.878000,2020-06-19 09:54:16.988000,2020-06-19 09:54:17.211000,2020-06-19 09:54:17.211000,
34,hs_client_hsdir,built,,1FBEB001D9BED0BF5FCFC657225AAE065AC9ECD2,2020-06-19 09:54:16.822000,2020-06-19 09:54:16.826000,2020-06-19 09:54:16.869000,2020-06-19 09:54:16.924000,2020-06-19 09:54:17.063000,2020-06-19 09:54:17.064000,
35,hs_client_hsdir,built,,FA294BD58FBB18133564734AA552CF68159DE1FF,2020-06-19 09:54:16.850000,2020-06-19 09:54:16.860000,2020-06-19 09:54:16.898000,2020-06-19 09:54:16.979000,2020-06-19 09:54:17.098000,2020-06-19 09:54:17.099000,
36,hs_client_hsdir,built,,9EEAA02E338CDF5919F983F3245AA95A790B9B6C,2020-06-19 09:54:16.860000,2020-06-19 09:54:16.869000,2020-06-19 09:54:16.899000,2020-06-19 09:54:16.978000,2020-06-19 09:54:17.096000,2020-06-19 09:54:17.097000,
37,hs_client_hsdir,built,,A7C7EB2A0DFB2E3FFFC12B7756707433DD550F9E,2020-06-19 09:54:16.977000,2020-06-19 09:54:16.987000,2020-06-19 09:54:17.074000,2020-06-19 09:54:17.140000,2020-06-19 09:54:17.322000,2020-06-19 09:54:17.322000,
38,hs_client_hsdir,built,,E43A346CB81DDF364B6FF68235AFADBA0E8692B8,2020-06-19 09:54:17.140000,2020-06-19 09:54:17.150000,2020-06-19 09:54:17.206000,2020-06-19 09:54:17.310000,2020-06-19 09:54:17.481000,2020-06-19 09:54:17.481000,
39,hs_client_hsdir,built,,BB7B02C3ED7D575A9EEA44A10A65B4AA289C104A,2020-06-19 09:54:17.177000,2020-06-19 09:54:17.189000,2020-06-19 09:54:17.241000,2020-06-19 09:54:17.340000,2020-06-19 09:54:17.478000,2020-06-19 09:54:17.479000,
