2020-06-19 15:18:47:018 | [main] Events log file for victim clients.
2020-06-19 15:18:47:018 | [main] Will use the output directory: /home/gacar/dev/tor-dos-attack/experiments/2020-06-19-15-18-47_gacar-lnx-desktop_rate-10-v3-fetch-per-sec-over-60-sec
2020-06-19 15:18:47:023 | [tshark_capture] Launching PCAP capture for 70 seconds...
2020-06-19 15:18:52:657 | [tor_browser_worker0] Tor Browser will load the attack page: file:///home/gacar/dev/tor-dos-attack/src/guard-discovery/adv_website.html?autoStart=true&onionVer=3&mediaType=fetch&ratePerSec=10, SOCKS port: 9250, control port: 9251
2020-06-19 15:18:53:041 | [tor_browser_worker0] [EVENT] STREAM 9 NEW 0 securedrop.org:443 SOURCE_ADDR=127.0.0.1:46412 PURPOSE=USER
2020-06-19 15:18:53:041 | [tor_browser_worker0] [EVENT] STREAM 9 SENTCONNECT 1 securedrop.org:443
2020-06-19 15:18:53:069 | [tor_browser_worker0] [EVENT] STREAM 10 NEW 0 mrfdfybujxrl4qwi35f44svoyzb72s4x2lrbcgroeo3ev6vtw5gz5sid.onion:443 SOURCE_ADDR=127.0.0.1:46414 PURPOSE=USER
2020-06-19 15:18:53:069 | [tor_browser_worker0] [EVENT] STREAM 12 NEW 0 185.163.45.212.$365F393040AA2979DC01D102F5052CAD048F42F7.exit:443 PURPOSE=DIR_FETCH
2020-06-19 15:18:53:070 | [tor_browser_worker0] [EVENT] HS_DESC REQUESTED mrfdfybujxrl4qwi35f44svoyzb72s4x2lrbcgroeo3ev6vtw5gz5sid NO_AUTH $365F393040AA2979DC01D102F5052CAD048F42F7~server001 CJNCZWo6iWVqEIYExRwtUr43uxGosGZh8EKa/5ZYmug HSDIR_INDEX=1326F28CF4E08C2BDEF3014BD77E788118CC4C5A393803BFCE3B32834369BB4D
2020-06-19 15:18:53:070 | [tor_browser_worker0] [EVENT] CIRC_MINOR 4 PURPOSE_CHANGED $ACC874AD6D4D3AC308CB6C044620A159A1123196~kulcosictor,$D317C7889162E9EC4A1DA1A1095C2A0F377536D9~NYCBUG0,$B576A394DFC12B7E900D643C900484765D58C30F~someNiceRelay BUILD_FLAGS=IS_INTERNAL,NEED_CAPACITY,NEED_UPTIME PURPOSE=HS_CLIENT_HSDIR HS_STATE=HSCI_CONNECTING TIME_CREATED=2020-06-19T13:18:51.154114 OLD_PURPOSE=GENERAL
2020-06-19 15:18:53:070 | [tor_browser_worker0] [EVENT] CIRC_MINOR 4 CANNIBALIZED $ACC874AD6D4D3AC308CB6C044620A159A1123196~kulcosictor,$D317C7889162E9EC4A1DA1A1095C2A0F377536D9~NYCBUG0,$B576A394DFC12B7E900D643C900484765D58C30F~someNiceRelay BUILD_FLAGS=IS_INTERNAL,NEED_CAPACITY,NEED_UPTIME PURPOSE=HS_CLIENT_HSDIR HS_STATE=HSCI_CONNECTING TIME_CREATED=2020-06-19T13:18:51.154114 OLD_PURPOSE=GENERAL OLD_TIME_CREATED=2020-06-19T13:18:51.157915
2020-06-19 15:18:53:113 | [tor_browser_worker0] [EVENT] STREAM 13 NEW 0 5v6qzisqwmxmjiz44m5syt35f3wqajjtjhzfuzpn3hmupemvxte3e2yd.onion:443 SOURCE_ADDR=127.0.0.1:46416 PURPOSE=USER
2020-06-19 15:18:53:113 | [tor_browser_worker0] [EVENT] STREAM 15 NEW 0 158.69.172.225.$5B23885B98440FAE58CCAA85BC28FDDBCAE578E3.exit:443 PURPOSE=DIR_FETCH
